temp,X,Y,T
11.7462091445923,-20,-40,751.5
11.6558609008789,-18.0263156890869,-40,751.5
11.6441631317139,-16.0526313781738,-40,751.5
11.348072052002,-14.0789470672607,-40,751.5
11.0731039047241,-12.1052627563477,-40,751.5
10.9807605743408,-10.1315793991089,-40,751.5
10.9678916931152,-8.1578950881958,-40,751.5
10.7310771942139,-6.18421030044556,-40,751.5
10.5842971801758,-4.21052646636963,-40,751.5
10.9890956878662,-2.23684215545654,-40,751.5
11.3301105499268,-0.263157904148102,-40,751.5
11.4970798492432,1.71052634716034,-40,751.5
11.2344512939453,3.68421053886414,-40,751.5
11.2685031890869,5.65789461135864,-40,751.5
12.0683851242065,7.63157892227173,-40,751.5
12.2231664657593,9.60526275634766,-40,751.5
12.5827379226685,11.5789470672607,-40,751.5
13.4163904190063,13.5526313781738,-40,751.5
14.5366287231445,15.5263156890869,-40,751.5
15.047435760498,17.5,-40,751.5
15.3483581542969,19.4736843109131,-40,751.5
16.2003364562988,21.4473686218262,-40,751.5
16.6261405944824,23.4210529327393,-40,751.5
15.0625782012939,25.3947372436523,-40,751.5
13.4277753829956,27.3684215545654,-40,751.5
13.7172946929932,29.3421058654785,-40,751.5
14.5590991973877,31.3157901763916,-40,751.5
14.6067409515381,33.2894744873047,-40,751.5
14.767539024353,35.2631568908691,-40,751.5
14.6038522720337,37.2368431091309,-40,751.5
13.916618347168,39.2105255126953,-40,751.5
14.297700881958,41.184211730957,-40,751.5
15.0444583892822,43.1578941345215,-40,751.5
15.3155488967896,45.1315803527832,-40,751.5
14.5893268585205,47.1052627563477,-40,751.5
13.5480585098267,49.0789489746094,-40,751.5
13.8163709640503,51.0526313781738,-40,751.5
14.2641983032227,53.0263175964356,-40,751.5
14.3727722167969,55,-40,751.5
12.9918146133423,-20,-38,751.5
12.9381694793701,-18.0263156890869,-38,751.5
12.7585945129395,-16.0526313781738,-38,751.5
12.5942630767822,-14.0789470672607,-38,751.5
12.4494495391846,-12.1052627563477,-38,751.5
12.4145278930664,-10.1315793991089,-38,751.5
12.2338905334473,-8.1578950881958,-38,751.5
11.8884983062744,-6.18421030044556,-38,751.5
12.1026935577393,-4.21052646636963,-38,751.5
12.7070255279541,-2.23684215545654,-38,751.5
12.9753265380859,-0.263157904148102,-38,751.5
13.2011566162109,1.71052634716034,-38,751.5
12.9011039733887,3.68421053886414,-38,751.5
13.055006980896,5.65789461135864,-38,751.5
14.1236600875855,7.63157892227173,-38,751.5
14.2032470703125,9.60526275634766,-38,751.5
14.5368337631226,11.5789470672607,-38,751.5
15.0353155136108,13.5526313781738,-38,751.5
